DOI,Title,Authors,Abstract,Section,Date
10.48550/arXiv.2510.05090,"finish first , perfect later : test-time token-level cross-validation diffusion large language model","Runchu Tian, Junxia Cui, Xueqiang Xu, Feng Yao, Jingbo Shang","diffusion large language model ( dllms ) have recently emerge promising alternative autoregressive ( ar ) model , offer advantage such accelerate parallel decoding and bidirectional context modeling . however , vanilla decode strategy discrete dllms suffer critical limitation : once token be accept , can no long be revise subsequent step . result , early mistake persist iteration , harm both intermediate prediction and final output quality . to address issue , propose tolerator ( token-level cross-validation refinement ) , training-free decode strategy leverage cross-validation predict token . exist method follow single progressive unmask procedure , tolerator introduce two-stage process : ( i ) sequence fill-up and ( ii ) iterative refinement remaske and decode subset token treat remain context . design enable previously accept token to be reconsider and correct necessary , lead more reliable diffusion decode output . evaluate tolerator five standard benchmark cover language understanding , code generation , and mathematic . experiment show method achieve consistent improvement baseline same computational budget . finding suggest decode algorithm be crucial realize full potential diffusion large language model . code and datum be publicly available .",Computation and Language,06/10/2025
10.48550/arXiv.2510.05087,teachlm : post-traine llm education use authentic learning data,"Janos Perczel, Jin Chow, Dorottya Demszky","promise generative ai to revolutionize education be constrain pedagogical limit large language model ( llms ) . major issue be lack access high-quality training datum reflect learning actual student . prompt engineering have emerge stopgap , but ability prompt to encode complex pedagogical strategy rule-based natural language be inherently limit . to address gap introduce teachlm – llm optimize teach parameter-efficient fine-tuning state-of-the-art model . teachlm be train dataset comprise 100 , 000 hour one-on-one , longitudinal student-tutor interaction maintain polygence , undergo rigorous anonymization process to protect privacy . use parameter-efficient fine-tuning to develop authentic student model enable generation high-fidelity synthetic student–tutor dialogue . build capability , propose novel multi-turn evaluation protocol leverage synthetic dialogue generation to provide fast , scalable , and reproducible assessment dialogical capability llms . evaluation demonstrate fine-tune authentic learning datum significantly improve conversational and pedagogical performance – double student talk time , improve question style , increase dialogue turn 50 % , and great personalization instruction .",Computation and Language,06/10/2025
10.48550/arXiv.2510.05077,slm-mux : orchestrate small language model reasoning,"Chenyu Wang, Zishen Wan, Hao Kang, Emma Chen, Zhiqiang Xie, Tushar Krishna, Vijay Janapa Reddi, Yilun Du","rapid development language model , number small language model ( slms ) have grow significantly . do not achieve state-of-the-art accuracy , be more efficient and often excel specific task . raise natural question : can multiple slm be orchestrate system contribute effectively , achieve high accuracy individual model ? exist orchestration method have primarily target frontier model ( e.g. , gpt-4 ) and perform suboptimally apply slm . to address gap , propose three-stage approach orchestrate slm . first , introduce slm-mux , multi-model architecture effectively coordinate multiple slm . build , develop two optimization strategy : ( i ) model selection search identify most complementary slm give pool , and ( ii ) test-time scaling tailor slm-mux . approach deliver strong result : compare exist orchestration method , approach achieve to 13 . 4 % improvement math , 8 . 8 % gpqa , and 7 . 0 % gsm8k . just two slm , slm-mux outperform qwen 2 . 5 72b gpqa and gsm8 k , and match performance math . far provide theoretical analysis to substantiate advantage method . summary , demonstrate slms can be effectively orchestrate more accurate and efficient system propose approach . project page and code : https://slm-mux.github.io .",Computation and Language,06/10/2025
10.48550/arXiv.2510.05038,guided query refinement : multimodal hybrid retrieval test-time optimization,"Omri Uzan, Asaf Yehudai, Roi pony, Eyal Shnarch, Ariel Gera","multimodal encoder have push boundary visual document retrieval , match textual query token directly image patch and achieve state-of-the-art performance public benchmark . recent model rely paradigm have massively scale size query and document representation , present obstacle deployment and scalability real-world pipeline . furthermore , purely vision-centric approach may be constrain inherent modality gap still exhibit modern vision-language model . work , connect challenge paradigm hybrid retrieval , investigate lightweight dense text retriever can enhance strong vision-centric model . exist hybrid method , rely coarse-grained fusion rank or score , fail to exploit rich interaction model ’s representation space . to address , introduce guided query refinement ( gqr ) , novel test-time optimization method refine primary retriever ’s query embed use guidance complementary retriever ’s score . extensive experiment visual document retrieval benchmark , demonstrate gqr allow vision-centric model to match performance model significantly large representation , be up 14x fast and require 54x less memory . finding show gqr effectively push pareto frontier performance and efficiency multimodal retrieval . release code github repository .",Computation and Language,06/10/2025
10.48550/arXiv.2510.05025,imperceptible jailbreaking large language model,"Kuofeng Gao, Yiming Li, Chao Du, Xin Wang, Xingjun Ma, Shu-Tao Xia, Tianyu Pang","jailbreake attack vision modality typically rely imperceptible adversarial perturbation , attack textual modality be generally assume to require visible modification ( e.g. , non-semantic suffix ) . paper , introduce imperceptible jailbreak exploit class unicode character call variation selector . append invisible variation selector malicious question , jailbreak prompt appear visually identical original malicious question screen , tokenization be "" secretly "" alter . propose chain-of-search pipeline to generate such adversarial suffix to induce harmful response . experiment show imperceptible jailbreak achieve high attack success rate four align llm and generalize prompt injection attack , all produce visible modification write prompt . code be available https://github.com/sail-sg/imperceptible-jailbreak .",Computation and Language,06/10/2025
10.48550/arXiv.2510.05003,resource-efficient fine-tuning llama-3 . 2-3b medical chain-of-thought reasoning,Imran Mansha,"large language models ( llms ) be increasingly be apply healthcare , but challenge reasoning transparency , factual consistency , and domain-specific adaptability limit safe deployment clinical setting . paper present proof-of-concept study fine-tuning meta ’s llama-3 . 2 ( 3b instruct ) medical chain thought ( cot ) reasoning use unsloth framework and parameter-efficient fine-tuning ( peft ) qlora . train model freedomintelligence/medical-o1-reasoning-sft dataset , provide step-by-step reasoning trace various medical domain . fact rouge-l score remain stable 0 . 3052 and fine-tune , qualitative inspection reveal preservation reasoning style and improve interpretability performance degradation . demonstrate feasibility adapt compact llm specialized reasoning task constrain computational resource , such kaggle gpus . fine-tuned model and training pipeline be publicly release hugging face hub , offer reproducible baseline to support future research interpretable and resource-efficient medical ai .",Computation and Language,06/10/2025
10.48550/arXiv.2510.04983,"aware , sentence boundaries : contextual transformer framework identify cultural capital stem narratives","Khalid Mehtab Khan, Anagha Kulkarni","identify cultural capital ( cc ) theme student reflection can offer valuable insight help foster equitable learn environment classroom . however , theme such aspirational goal or family support be often weave narrative , rather appear direct keyword . make difficult to detect standard nlp model process sentence isolation . core challenge stem lack awareness , standard model be pre-traine general corpora , leave blind domain-specific language and narrative context inherent datum . to address , introduce aware , framework systematically attempt to improve transformer model ’s awareness nuanced task . aware have three core component : 1 ) domain awareness , adapt model ’s vocabulary linguistic style student reflection ; 2 ) context awareness , generate sentence embedding be aware full essay context ; and 3 ) class overlap awareness , employ multi-label strategy to recognize coexistence theme single sentence . result show make model explicitly aware property input , aware outperform strong baseline 2 . 1 percentage point macro-f1 and show considerable improvement theme . work provide robust and generalizable methodology text classification task meaning depend context narrative .",Computation and Language,06/10/2025
10.48550/arXiv.2510.04945,first context-free grammar apply nawatl corpora augmentation,"Juan-José Guzmán-Landa, Juan-Manuel Torres-Moreno, Miguel Figueroa-Saavedra, Ligia Quintana-Torres, Martha-Lorena Avendaño-Garrido, Graham Ranger","article introduce context-free grammar ( cfg ) nawatl language . nawatl be amerindian language π\pi-language type , i.e. language few digital resource , corpora available machine learning be virtually non-existent . objective here be to generate significant number grammatically correct artificial sentence , order to increase corpora available language model training . want to show grammar enable significantly to expand corpus nawatl call π\pi-yalli . corpus , thus enrich , enable to train algorithm such fasttext and to evaluate sentence-level semantic task . preliminary result show use grammar , comparative improvement be achieve llm . however , be observe to achieve more significant improvement , grammar model nawatl language even more effectively be require .",Computation and Language,06/10/2025
10.48550/arXiv.2510.04933,geometry truth : layer-wise semantic dynamics hallucination detection large language model,Amir Hameed Mir,"large language models ( llms ) often produce fluent yet factually incorrect statements—a phenomenon know hallucination—pose serious risk high-stakes domain . present layer-wise semantic dynamics ( lsd ) , geometric framework hallucination detection analyze evolution hidden-state semantic transformer layer . prior method rely multiple sampling pass or external verification source , lsd operate intrinsically model ’s representational space . use margin-based contrastive learning , lsd align hide activation ground-truth embedding derive factual encoder , reveal distinct separation semantic trajectory : factual response preserve stable alignment , hallucination exhibit pronounce semantic drift depth . evaluate truthfulqa and synthetic factual-hallucination dataset , lsd achieve f1-score 0 . 92 , auroc 0 . 96 , and cluster accuracy 0 . 89 , outperform selfcheckgpt and semantic entropy baseline require only single forward pass . efficiency yield 5–20×\times speedup sampling-based method sacrifice precision or interpretability . lsd offer scalable , model-agnostic mechanism real-time hallucination monitoring and provide new insight geometry factual consistency large language model .",Computation and Language,06/10/2025
10.48550/arXiv.2510.04919,do llms align task ? evaluate text-to-sql dataset alignment,"Davood Rafiei, Morgan Lindsay Heisler, Weiwei Zhang, Mohammadreza Pourreza, Yong Zhang","supervised fine-tuning ( sft ) be effective method adapt large language models ( llms ) down-stream task . however , variability training datum can hinder model ’s ability to generalize domain . paper study problem dataset alignment natural language sql ( nl2sql or text-to-sql ) , examine well sft training datum match structural characteristic target query and alignment impact model performance . hypothesize alignment can be accurately estimate compare distribution structural sql feature training set , target datum , and model ’s prediction prior sft . comprehensive experiment three large cross-domain nl2sql benchmark and multiple model family , show structural alignment be strong predictor fine-tune success . alignment be high , sft yield substantial gain accuracy and sql generation quality ; alignment be low , improvement be marginal or absent . finding highlight importance alignment-aware datum selection effective fine-tuning and generalization nl2sql task .",Computation and Language,06/10/2025
