DOI,Title,Authors,Abstract,Section,Date
10.48550/arXiv.2509.16198,rpg repository planning graph unified scalable codebase generation,"Jane Luo, Xin Zhang, Steven Liu, Jie Wu, Yiming Huang, Yangyu Huang, Chengyu Yin, Ying Xin, Jianfeng Liu, Yuefeng Zhan, Hao Sun, Qi Chen, Scarlett Li, Mao Yang","large language model excel function- file level code generation generate complete repository scratch remain fundamental challenge process demand coherent reliable plan proposal- implementation level stage natural language ambiguity verbosity be ill suit faithfully represent complex software structure to address introduce repository planning graph rpg persistent representation unify proposal- implementation level plan encode capability file structure datum flow function one graph rpg replace ambiguous natural language explicit blueprint enable long horizon plan scalable repository generation build rpg develop zerorepo graph drive framework repository generation scratch operate three stage proposal level plan implementation level refinement to construct graph follow graph guide code generation test validation to evaluate set construct repocraft benchmark six real world project 1,052 task repocraft zerorepo generate repository average nearly 36 k loc roughly 3.9× strong baseline claude code 64× other baseline attain 81.5 functional coverage 69.7 pass rate exceed claude code 27.3 35.8 percentage point respectively further analysis show rpg model complex dependency enable progressively more sophisticate plan near linear scale enhance llm understand repository thereby accelerate agent localization",Computation and Language,19/09/2025
10.48550/arXiv.2509.16188,culturescope dimensional lens probing cultural understanding llms,"Jinghao Zhang, Sihang Jiang, Shiwei Guo, Shisong Chen, Yanghua Xiao, Hongwei Feng, Jiaqing Liang, Minggui HE, Shimin Tao, Hongxia Ma",large language model llms be increasingly deploy diverse cultural environment evaluate cultural understand capability have become essential ensure trustworthy culturally align application however most exist benchmark lack comprehensiveness be challenge to scale adapt different cultural context framework often lack guidance well establish cultural theory tend to rely expert drive manual annotation to address issue propose culturescope most comprehensive evaluation framework date assess cultural understand llms inspire cultural iceberg theory design novel dimensional schema cultural knowledge classification comprise 3 layer 140 dimension guide automate construction culture specific knowledge basis correspond evaluation dataset give language culture experimental result demonstrate method can effectively evaluate cultural understand also reveal exist large language model lack comprehensive cultural competence merely incorporate multilingual datum do not necessarily enhance cultural understand code datum file be available https://github.com/hoganzinger/culture,Computation and Language,19/09/2025
10.48550/arXiv.2509.16112,coderag find relevant necessary knowledge retrieval augment repository level code completion,"Sheng Zhang, Yifan Ding, Shuquan Lian, Shun Song, Hui Li",repository level code completion automatically predict unfinished code base broad information repository recent stride code large language models code llms have spur development repository level code completion method yield promise result nevertheless suffer issue such inappropriate query construction single path code retrieval misalignment code retriever code llm to address problem introduce coderag framework tailor to identify relevant necessary knowledge retrieval augment repository level code completion core component include log probability guide query construction multi path code retrieval preference align bestfit reranking extensive experiment benchmark recceval cceval demonstrate coderag significantly consistently outperform state art method implementation coderag be available https://github.com/kdegroup/coderag,Computation and Language,19/09/2025
10.48550/arXiv.2509.16107,depend resolve referential ambiguity minimal contexts commonsense knowledge,"Lukas Ellinger, Georg Groh",ambiguous word underspecified reference require interlocutor to resolve often rely share context commonsense knowledge therefore systematically investigate large language models llms can leverage commonsense to resolve referential ambiguity multi turn conversation analyze behavior ambiguity persist far study request simplify language affect capacity use novel multilingual evaluation dataset test deepseek v3 gpt-4o qwen3 32b gpt-4o mini llama-3.1 8b llm judge human annotation finding indicate current llm struggle to resolve ambiguity effectively tend to commit single interpretation cover possible reference rather hedge seek clarification limitation become more pronounce simplification prompt drastically reduce use commonsense reason diverse response strategy fine tune llama-3.1 8b direct preference optimization substantially improve ambiguity resolution request type result underscore need advance fine tune to improve llm handle ambiguity to ensure robust performance diverse communication style,Computation and Language,19/09/2025
10.48550/arXiv.2509.16105,diep adaptive mixture expert compression differentiable expert pruning,"Sikai Bai, Haoxi Li, Jie Zhang, Zicong Hong, Song Guo",significant breakthrough mixture expert moe increase scale moe model present huge memory storage challenge exist moe prune method involve reduce parameter size uniform sparsity layer often lead suboptimal outcome performance degradation vary expert redundancy different moe layer to address propose non uniform prune strategy dub differentiable expert pruning diep adaptively adjust prune rate layer level jointly learn inter layer importance effectively capture vary redundancy different moe layer transform global discrete search space continuous one method handle exponentially grow non uniform expert combination enable adaptive gradient base prune extensive experiment five advance moe model demonstrate efficacy method various nlp task notably diep retain around 92 original performance mixtral 8×\times7b only expert outperform other prune method to 7.1 challenge mmlu dataset,Computation and Language,19/09/2025
10.48550/arXiv.2509.16093,pointwise score decomposed criteria base evaluation llm responses,"Fangyi Yu, Nabeel Seedat, Dasha Herrmannova, Frank Schilder, Jonathan Richard Schwarz",evaluate long form answer high stake domain such law medicine remain fundamental challenge standard metric bleu rouge fail to capture semantic correctness current llm base evaluator often reduce nuanced aspect answer quality single undifferentiated score introduce dece decompose llm evaluation framework separate precision factual accuracy relevance recall coverage require concept use instance specific criterion automatically extract gold answer requirement dece be model agnostic domain general require predefined taxonomy handcraft rubric instantiate dece to evaluate different llm real world legal qa task involve multi jurisdictional reason citation ground dece achieve substantially strong correlation expert judgment rr=0.78 compare traditional metric rr=0.12 pointwise llm score rr=0.35 modern multidimensional evaluator rr=0.48 also reveal interpretable trade off generalist model favor recall specialize model favor precision importantly only 11.95 llm generate criterion require expert revision underscore dece ’s scalability dece offer interpretable actionable llm evaluation framework expert domain,Computation and Language,19/09/2025
10.48550/arXiv.2509.16028,think verbalize then speak bridging complex thoughts comprehensible speech,"Sang Hoon Woo, Sehun Lee, Kang-wook Kim, Gunhee Kim",spoken dialogue system increasingly employ large language model llms to leverage advance reason capability however direct application llms spoken communication often yield suboptimal result due mismatch optimal textual verbal delivery exist approach adapt llm to produce speech friendly output impact reason performance remain underexplored work propose think verbalize speak framework decouple reason spoken delivery to preserve full reason capacity llms central method be verbalize intermediate step translate thought natural speech ready text also introduce revert latency efficient verbalizer base incremental asynchronous summarization experiment multiple benchmark show method enhance speech naturalness conciseness minimal impact reason project page dataset source code be available https://yhytoto12.github.io/tvs-revert,Computation and Language,19/09/2025
10.48550/arXiv.2509.16025,session level spoken language assessment multimodal foundation model multi target learning,"Hong-Yun Lin, Jhen-Ke Lin, Chung-Chun Wang, Hao-Chien Lu, Berlin Chen",spoken language assessment sla estimate learner ’s oral proficiency spontaneous speech grow population l2 english speaker have intensify demand reliable sla critical component computer assisted language learning call exist effort often rely cascade pipeline be prone error propagation end end model often operate short audio window might miss discourse level evidence paper introduce novel multimodal foundation model approach perform session level evaluation single pass approach couple multi target learn frozen whisper asr model base speech prior acoustic aware calibration allow jointly learn holistic trait level objective sla resort handcraft feature coherently process entire response session l2 speaker model excel predict holistic oral proficiency experiment conduct speak improve benchmark demonstrate propose approach outperform previous state art cascade system exhibit robust cross part generalization produce compact deployable grader be tailor call application,Computation and Language,19/09/2025
10.48550/arXiv.2509.15974,beft bias efficient fine tuning language models,"Baichuan Huang, Ananth Balashankar, Amir Aminifar",fine tune bias term stand various parameter efficient fine tune peft technique owe out box usability competitive performance especially low data regime bias only fine tune have potential unprecedented parameter efficiency however link fine tune different bias term i.e. bias term query key value projection downstream performance remain unclear exist approach e.g. base magnitude bias change empirical fisher information provide limit guidance select particular bias term effective fine tune paper propose approach select bias term to be fine tune form foundation bias efficient fine tune beft extensively evaluate bias efficient approach other bias selection approach wide range large language model llms span encoder only decoder only architecture 110 m to 6.7b parameter result demonstrate effectiveness superiority bias efficient approach diverse downstream task include classification multiple choice generation task,Computation and Language,19/09/2025
10.48550/arXiv.2509.15958,localmax dynamic attention transformer asymptotic behavior,"Henri Cimetière, Maria Teresa Chiri, Bahman Gharesifard",introduce new discrete time attention model term localmax dynamic interpolate classic softmax dynamic hardmax dynamic only token maximize influence give token have positive weight hardmax uniform weight be determine parameter control neighbor influence key extension lie relax neighborhood interaction alignment sensitivity parameter allow control deviation pure hardmax behavior prove convex hull token state still converge convex polytope structure can no long be fully describe maximal alignment set prompt introduction quiescent set to capture invariant behavior token vertex show set play key role understand asymptotic behavior system even time vary alignment sensitivity parameter far show localmax dynamic do not exhibit finite time convergence provide result vanish nonzero time vary alignment sensitivity parameter recover limit behavior hardmax product finally adapt lyapunov base method classical opinion dynamic highlight limitation asymmetric set localmax interaction outline direction future research,Computation and Language,19/09/2025
