DOI	Title	Authors	Abstract	Journal	Date
10.1016/j.cell.2025.08.038	Multiscale proteomic modeling reveals protein networks driving Alzheimer's	Wang E, Yu K, Cao J, Wang M, Katsel P, Song WM, Wang Z, Li Y, Wang X, Wang Q, Xu P, Yu G, Zhu L, Geng J, Habibi P, Qian L, Tuck T, Li A, Tcw J, Roussos P, Brennand KJ, Haroutunian V, Johnson ECB, Seyfried NT, Levey AI, Bennett DA, Peng J, Cai D, Zhang B	The molecular mechanisms underlying the pathogenesis of Alzheimer's disease (AD), the most common form of dementia, remain poorly understood. Proteomics offers a crucial approach to elucidating AD pathogenesis, as alterations in protein expression are more directly linked to phenotypic outcomes than changes at the genetic or transcriptomic level. In this study, we develop multiscale proteomic network models for AD by integrating large-scale matched proteomic and genetic data from brain regions vulnerable to the disease. These models reveal detailed protein interaction structures and identify putative key driver proteins (KDPs) involved in AD progression. Notably, the network analysis uncovers an	Cell	25/09/2025
10.1016/j.phymed.2025.157280	Glaucocalyxin A induces autophagy-mediated ferroptosis by targeting PRDX1 and	Wang Y, Luo W, Shen S, Zhuang Y, Zhu Y, Liu Y, Zhang J, Meng Y, Pan L, Luo T, Xia F, Liu Y, Li S, Shen S, Liu Q, Wang J, Gu L	BACKGROUND: Non-small cell lung cancer (NSCLC) remains by far the most prevalent cancer worldwide. Natural products are one of the important sources for development of drugs against NSCLC. Weifuchun is a traditional Chinese medicine formula that widely used in Chinese medicine hospitals for the treatment of gastric precancerous lesions. Glaucocalyxin A (GLA) is one of the particularly important active ingredients, which had a wide range of pharmacological activities, including antitumor, antifibrotic, and osteoprotective effects. However, despite these promising therapeutic potentials, the precise molecular mechanisms underlying GLA's activity against NSCLC and its cellular targets remain poorly characterized. PURPOSE: The objective of this study was to assess the role of GLA in anti-NSCLC and to further investigate its pharmacological effects. METHODS: A systematic evaluation of the anti-NSCLC effect of GLA was conducted by in vitro and in vivo experiments. Using activity-based protein profiling (ABPP) technology, we identified its molecular targets and elucidated the underlying mechanism. RESULTS: This study confirmed the significant inhibitory activity of GLA against NSCLC both in vitro and in vivo. More importantly, GLA selectively formed covalent bonds with Cys(173) of peroxiredoxin 1 (PRDX1) and Cys(59), Cys(64), Cys(497) and Sec(498) of thioredoxin reductase 1 (TXNRD1), and based on the computational chemistry to derive the covalent binding reactivity order of it (Sec(498) > Cys(59) > Cys(497) > Cys(64)). This dual-target inhibition significantly disrupted cellular redox homeostasis, leading to significant accumulation of intracellular reactive oxygen species (ROS). The resulting oxidative stress triggered the activation of autophagy pathways and ultimately induced ferroptosis in NSCLC cells. CONCLUSIONS: The present study demonstrated that GLA may target PRDX1 and TXNRD1 proteins, inhibiting their enzymatic activity. This action leads to excessive accumulation of intracellular ROS and ultimately inducing autophagy-mediated ferroptosis. This work not only delineated the novel molecular mechanism of GLA's anti-NSCLC effects, but also provided critical insights for the development of covalent inhibitors targeting redox-regulating proteins in cancer therapeutics.	Phytomedicine : international journal of phytotherapy and phytopharmacology	20/09/2025
10.1016/j.ccell.2025.09.003	Sensory neurons drive pancreatic cancer progression through glutamatergic	Ren L, Liu C, Çifcibaşı K, Ballmann M, Rammes G, Mota Reyes C, Tokalov S, Klingl A, Grünert J, Goyal K, Neckel PH, Mattheus U, Schoeps B, Yıldızhan SE, Sezerman OU, Cevik NC, Sever EA, Karakas D, Safak O, Steiger K, Muckenhuber A, Görgülü K, Chen Z, Zhang J, Ye L, Maula Ali MI, Tiwari VK, Romanyuk N, Giesert F, Saur D, Rad R, Schmid RM, Algül H, Krüger A, Friess H, Ceyhan GO, Istvanffy R, Demir IE	Cancers thrive on neuronal input. Here, we demonstrate the presence of pseudo-synaptic connections between sensory nerve endings and cancer cells in an extracerebral cancer, i.e., pancreatic ductal adenocarcinoma (PDAC). These synaptic sites exhibit a selective enrichment of the glutamatergic N-methyl-D-aspartate receptor (NMDA) receptor subunit NMDAR2D (GRIN2D) on the cancer cells, which turns PDAC cells responsive to neuron-derived glutamate and promotes tumor growth and spread. Intriguingly, neurons transform a subset of co-cultured PDAC cells into calcium-responsive cells via GRIN2D-type glutamate receptors at the neuron-cancer pseudo-synapses. We found that the expression of this subunit is due to the increased glutamate availability provided by sensory innervation in a neurotrophic feedforward loop. Moreover, interference with the glutamate-GRIN2D signaling at these neuron-cancer pseudo-synapses markedly improved survival in vivo. This discovery of peripheral cancer-neuron pseudo-synapses may provide an opportunity for cancer-neuroscience-instructed oncological therapies.	Cancer cell	25/09/2025
10.1007/s12672-025-03347-9	DNMT3A-R882 mutation promotes acute myeloid leukemia progression by recruiting	Chen Y, Zhu X, Lin C, Xu R, Xu P, Xin L, Li L, Zhang L	BACKGROUND: Patients with acute myeloid leukemia (AML) harboring the DNMT3A-R882 mutation (DR882MUT) are often more difficult to treat and more likely to relapse. However, whether DR882MUT modulates AML progression via circRNAs remains unknown. METHODS: Bioinformatics was used to assess the aberrant expression of circRNAs associated with AML. The DR882MUT cell line model was established. circRNA expression in AML cells treated with DR882MUT was analyzed using RT-qPCR. The	Discover oncology	29/09/2025
10.1016/j.ccell.2025.09.002	Ketogenic diet inhibits glioma progression by promoting gut microbiota-derived	Chen ML, He Y, Dong XH, Liu HF, Yan ZX, Lu XL, Miao QQ, Zhao QN, Zhang H, Luo L, Wang S, Li JY, Xiang DF, Lin Y, Li TR, Zhou XY, Zhou YY, Mao M, Zhang X, Wei H, Shi Y, Liu XD, Ping YF, Bian XW	The ketogenic diet (KD) is a potential therapeutic strategy for glioma; however, the underlying mechanisms remain unclear. Herein, we first identify that glioma patients exhibit a distinct gut microbial profile characterized by reduced butyrate-producing bacteria abundance, particularly R. faecis, along with decreased butyrate levels. Notably, KD reshapes the gut microbiota especially enriching A. muciniphila in a mucin-2-dependent manner, elevates butyrate production, and activates caspase-3 in microglia. These changes promote an anti-tumor microglial phenotype, ultimately suppressing glioma progression in mice. Crucially, KD's anti-glioma effect is notably abolished by antibiotics treatment; germ-free condition; or specific depletion of mucin-2, microglia, or microglial caspase-3. Furthermore, butyrate, A. muciniphila, R. faecis, or A. muciniphila plus R. faecis restores KD-induced microglial caspase-3 activation and the anti-tumor phenotype of microglia in antibiotics-treated or germ-free mice. These findings highlight that targeting the gut microbiota by KD or supplementing with butyrate could be an effective strategy for glioma therapy.	Cancer cell	25/09/2025
10.1016/j.ceb.2025.102583	Dynamic regulation of cell death signaling.	Majoul A, Garcia-Saez AJ	There are many ways for a cell to die, but each cell only dies once, causing an inherent variability that results from common triggers activating interconnected signaling networks that diverge at key decision points during cell death initiation, progression, and execution. Despite the death of each cell being a unique biomolecular event, shared features allow us to categorize the process depending on the pathways activated and their outcomes. Here we outline core concepts about the dynamic interplay between cell death pathways, focusing on apoptosis, necroptosis, pyroptosis, and ferroptosis. We highlight unresolved decision points, including the dynamics of pore formation and the points of no return. We also discuss conceptual commonalities across systems and outline key recent developments that refine our understanding of the dynamic regulation of cell death.	Current opinion in cell biology	26/09/2025
10.1016/S0140-6736(25)01148-1	Oral iptacopan therapy in patients with C3 glomerulopathy: a randomised,	Kavanagh D, Bomback AS, Vivarelli M, Nester CM, Remuzzi G, Zhao MH, Wong EKS, Wang Y, Krishnan I, Schuhmann I, Trapani AJ, Webb NJA, Meier M, Israni RK, Smith RJH	BACKGROUND: C3 glomerulopathy is an ultra-rare, severe form of glomerulonephritis caused by overactivation of the alternative complement pathway. We aimed to assess efficacy and safety of iptacopan (LNP023), an oral, proximal complement inhibitor that targets factor B to selectively inhibit the alternative pathway of the complement cascade. METHODS: APPEAR-C3G was a multicentre, randomised, double-blind, placebo-controlled, phase 3 study of iptacopan versus placebo (both in addition to supportive care [renin-angiotensin-aldosterone system (RAAS) inhibitors] and immunosuppression). Adult participants (aged 18-60 years) with biopsy-confirmed C3 glomerulopathy were enrolled from 35 hospitals or medical centres in 18 countries. Inclusion criteria included reduced serum C3 concentration (ie, <77 mg/dL [defined as <0·85 × lower limit of the central laboratory normal range]) at screening, urine protein-creatinine ratio (UPCR) of 1·0 g/g or higher at day -75 and day -15 before randomisation, estimated glomerular filtration rate (eGFR) of 30 mL/min per 1·73 m(2) or higher at screening and day -15, and vaccination against Neisseria meningitidis and Streptococcus pneumoniae. All eligible participants were randomised 1:1 via interactive response technology to either the iptacopan or the placebo group, stratified by treatment with corticosteroids, mycophenolic acid, or both (yes or no). During the 6-month double-blind period, participants orally received either iptacopan 200 mg twice daily or placebo; this was followed by a 6-month open-label period in which all participants received iptacopan 200 mg twice daily. The primary endpoint was relative reduction in proteinuria (measured by log-transformed ratio to baseline in UPCR sampled from a 24-h urine collection) at 6 months. The primary analyses were done in the full analysis set (ie, all participants to whom study treatment was assigned by randomisation); all participants who received at least one dose of study treatment were included in the safety analysis. This trial was registered with ClinicalTrials.gov (NCT04817618) and the adult cohort has been completed. FINDINGS: Between July 28, 2021, and Feb 15, 2023, 132 participants were screened, of whom 58 did not complete the screening period and 74 (64% male; 69% White) were randomised 1:1 to receive either iptacopan (n=38) or placebo (n=36). One participant in the placebo group discontinued treatment during the open-label period. The 24-h UPCR percentage change relative to baseline at 6 months was -30·2% (95% CI -42·8 to -14·8) in the iptacopan group and 7·6% (-11·9 to 31·3) in the placebo group. In the iptacopan group, the geometric mean of 24-h UPCR was 3·33 g/g (95% CI 2·79 to 3·97) at baseline and 2·17 g/g (1·62 to 2·91) at 6 months; in the placebo group, this was 2·58 g/g (2·18 to 3·05) at baseline and 2·80 g/g (2·37 to 3·30) at 6 months. The primary endpoint was met with a relative reduction in 24-h UPCR at 6 months for iptacopan versus placebo of 35·1% (13·8 to 51·1; p=0·0014). 30 (79%) of 38 participants in the iptacopan group had treatment-emergent adverse events, compared with 24 (67%) of 36 participants in the placebo group; most of these were of mild or moderate severity. There were no deaths, no treatment discontinuations due to treatment-emergent adverse events, and no meningococcal infections. Serious adverse events were reported in three (8%) participants in the iptacopan group and one (3%) participant in the placebo group. INTERPRETATION: Iptacopan showed a statistically significant, clinically meaningful proteinuria reduction in addition to RAAS inhibitors and immunosuppression at 6 months. Iptacopan was well tolerated with an acceptable safety profile in patients with C3 glomerulopathy. FUNDING: Novartis Pharma.	Lancet (London, England)	25/09/2025
10.1016/j.cmet.2025.09.001	Catenibacteriummitsuokai promotes hepatocellular carcinogenesis by binding to	Zhang Y, Liu W, Wong CC, Song Q, Zhang X, Zhou Q, Ren X, Ren X, Xuan R, Zhao Y, Xu L, Li X, Xu L, Zhang X, Kuang M, Yu J	The role of gut microbes in the pathogenesis of hepatocellular carcinoma (HCC) remains unclear. Here, we identified that Catenibacterium is enriched in both the feces and tumors of patients with HCC. C. mitsuokai accelerated HCC carcinogenesis in both conventional and germ-free mice. Furthermore, C. mitsuokai disrupted the gut barrier and translocated to the liver as live bacteria. Critically, the C. mitsuokai surface protein Gtr1/RagA interacts with the γ-catenin receptor on HCC cells, facilitating its attachment and colonization in the mouse liver. We further revealed that the pro-tumorigenic effect of C. mitsuokai depends on its secreted metabolite, quinolinic acid. Mechanistically, quinolinic acid binds to and activates the tyrosine kinase with immunoglobulin and epidermal growth factor homology domains 2 (TIE2) on HCC cells. Phosphorylated TIE2 subsequently activates the downstream oncogenic phosphatidylinositol 3-kinase/protein kinase B (PI3K/AKT) pathway, thereby promoting HCC progression. In summary, C. mitsuokai disrupts the gut barrier, colonizes HCC cells via Gtr1/RagA-γ-catenin, and secretes quinolinic acid, which binds to TIE2 and drives the PI3K/AKT pathway to promote HCC development.	Cell metabolism	25/09/2025
10.1111/ppe.12615	Acetaminophen use during pregnancy and the risk of attention deficit	Masarwa R, Platt RW, Filion KB	BACKGROUND: The association between acetaminophen use during pregnancy and the development of attention deficit hyperactivity disorder (ADHD) in the offspring may be due to bias. OBJECTIVES: The primary objective was to assess the role of potential unmeasured confounding in the estimation of the association between acetaminophen use during pregnancy and the risk of ADHD, through bias analysis. The secondary objective was to assess the roles of selection bias and exposure misclassification. DATA SOURCES: We searched MEDLINE, Embase, Scopus, and the Cochrane Library up to December 2018. STUDY SELECTION AND DATA EXTRACTION: We included observational studies examining the association between acetaminophen use during pregnancy and the risk of ADHD. SYNTHESIS: We meta-analysed data across studies, using random-effects model. We conducted a bias analysis to studies that did not adjust for important confounders, to explore systematic errors related to unmeasured confounding, selection bias, and exposure misclassification. RESULTS: The search resulted in seven studies included in our meta-analysis. When adjusted estimates were pooled across all studies, the risk ratio (RR) for ADHD was 1.35 (95% confidence interval [CI] 1.25, 1.46; I(2) = 48%). Sensitivity analysis for unmeasured confounding in this meta-analysis showed that a confounder of 1.69 on the RR scale would reduce to 10% the proportion of studies with a true effect size of RR >1.10. Unmeasured confounding bias analysis decreased the point estimate in five of the seven studies and increased in two studies, suggesting that the observed association could be confounded by parental ADHD. Unadjusted and bias-corrected risk ratios (bcRRs) were: RR = 1.34, bcRR = 1.13; RR = 1.51, bcRR = 1.17; RR = 1.63, bcRR = 1.38; RR = 1.44, bcRR = 1.17; RR = 1.16, bcRR = 1.18; RR = 1.25, bcRR = 1.05; and RR = 0.99, bcRR = 1.18. CONCLUSIONS: Bias analysis suggests that the previously reported association between acetaminophen use during pregnancy and an increased risk of ADHD in the offspring may be due to unmeasured confounding. Our ability to conclude a causal association is limited.	Paediatric and perinatal epidemiology	01/05/2020
10.1183/13993003.01126-2025	European Respiratory Society Clinical Practice Guideline for the Management of	Chalmers JD, Haworth CS, Flume P, Long MB, Burgel PR, Dimakou K, Blasi F, Herrero-Cortina B, Dhar R, Chotirmall SH, Ringshausen FC, Altenburg J, Morgan L, Nigro M, Crichton ML, Van Meel C, Sibila O, Timothy A, Kompatsiari E, Hedberg T, Vandendriessche T, McShane PJ, Tonia T, Winthrop K, Loebinger MR, Lorent N, Goeminne P, Shteinberg M, Polverino E, Aliberti S	BACKGROUND: Bronchiectasis is a common lung condition associated with wide range of infectious, immunological, autoimmune, allergic and genetic conditions. Exacerbations and daily symptoms have the largest impact on patients and healthcare systems, and they are the key focus of treatments. Current practice is heterogeneous globally, and bronchiectasis has historically been a neglected disease. Here, we present evidence-based international guidelines for the management of adults with bronchiectasis. METHODS: A European Respiratory Society (ERS) Task Force, comprising global experts, a methodologist, and patient representatives, developed clinical practice guidelines in accordance with ERS methodology and the GRADE (Grading of Recommendations, Assessment, Development and Evaluations) approach. Systematic literature searches, data extraction, and meta-analysis were performed to generate evidence tables, and recommendations were formulated using the evidence-to-decision framework. A total of 8 PICO (Patient, Intervention, Comparator, Outcomes) questions and 3 narrative questions were developed. RECOMMENDATIONS: The Task Force recommendations include strong recommendations in favour of airway clearance techniques for most patients with bronchiectasis and pulmonary rehabilitation for those with impaired exercise capacity. We issue a strong recommendation for the use of long-term macrolide treatment for patients at high risk of exacerbations and a strong recommendation in favour of long-term inhaled antibiotics in patients with chronic Pseudomonas aeruginosa infection at high risk of exacerbation. Conditional recommendations support the use of eradication treatment or mucoactive drugs in specific circumstances. We suggest not to routinely use long term oral, non-macrolide antibiotic treatment or inhaled corticosteroids. Additional guidance is also provided on testing for underlying causes, managing exacerbations, and managing the deteriorating patient. CONCLUSION: The ERS bronchiectasis guidelines provide an evidence-based framework for optimal management of adults with bronchiectasis and serve as a benchmark for evaluating the quality of care. SCOPE AND OBJECTIVES: The European Respiratory Society (ERS) guidelines for the management of bronchiectasis in adults provide evidence-based recommendations for the care of people with clinically significant bronchiectasis, defined by the presence of permanent dilatation of the bronchi evident on chest CT scan, along with characteristic clinical symptoms. [1] These guidelines are intended for all healthcare professionals involved in the care of adults with bronchiectasis, as well as for policymakers, regulatory authorities, and pharmaceutical companies. Bronchiectasis is a complex and heterogeneous disease; therefore, no guideline can be entirely comprehensive or replace clinical judgement. All guideline recommendations must be interpreted within the specific clinical context in which they are applied. Separate ERS guidelines for the management of bronchiectasis in children exist [2]. Bronchiectasis due to cystic fibrosis (CF) has a distinct evidence base; therefore, guidance for the management of CF is provided elsewhere. [3] Some bronchiectasis-associated conditions also have distinct guidelines for investigation and management, such as primary ciliary dyskinesia (PCD) [4], allergic bronchopulmonary aspergillosis (ABPA) [5] and non-tuberculous mycobacterial (NTM) pulmonary disease [6]. While the present guidelines apply for these conditions, they should be interpreted in conjunction with the relevant syndrome-specific recommendations.	The European respiratory journal	28/09/2025
